rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
4,Alex Hipwell & Lena Sassano,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,4
5,Miriam Blaettler & Veronika Guessregen,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,5
6,Saskia Hauser & Kelley Griffiths,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,6
7,Anne-Marie Hansen & Finja Thoroe,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,7
8,Celine Voß & Jule Paulsen,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,8
8,Jennifer Morrice & Janin Steitz,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,8
10,Holland Cathey & Isabell Grasnick,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,10
11,Polina Dmitrovskaya & Mia Schütt,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,11
12,Sarah Wagner & Luisa Alfes,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,12
13,Franzi Rinke & Natalie Lang,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,13
14,Franziska Mews & Maria Agethen,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,14
15,Vienna Oppie & Ann-Kathrin Burmann,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,15
16,Denise Rintisch & Azadeh Ghavamy,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,16
17,Alexandra Buschmann & Nancy Sellenthin,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,17
18,Marina Hellenthal & Kerstin Kukla,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,18
19,Anja Kürzinger & Nina Gulde,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,19
